,Unnamed: 0,vw,n,hour,day,month,symbol,volume_15MA,volume_15MA_diff,volume_sum15,volume_sum15_5DMA,volume_sum15_10DMA,volume_sum15_5DMA_diff,volume_sum15_10DMA_diff,price_change_H,price_range,price_range_8MA,price_range_8MA_diff,return_vol_8H,return_vol_8H_diff,price_change_D,price_range_5DMA,price_range_5DMA_diff,return_vol_5D,return_vol_5D_diff,return_vol_10D,return_vol_10D_diff,price_3Ddiff,price_5Ddiff,price_10Ddiff,price_20Ddiff,price_3D20D_diff,rsi,rsi_15MA,rsi_15MA_diff,roc,roc3,roc5,roc_15MA,roc_15MA_diff,High-Low,High-Close,Low-Close,TR,H-L,H-PrevClose,PrevClose-L,DMplus,DMminus,DIplus,DIminus,DX,adx,macd,macd_15MA,macd_15MA_diff,bbu,bbl,bbm,bb_spread,bb_trend,bb_category,cmf,cmf_15MA,cmf_15MA_diff,date,alert_price,one_max,one_min,one_pct,three_max,three_min,three_pct,SPY_5d,SPY_20d,SPY_5d_diff,SPY_20d_diff,SPY_range_vol,day_of_week,day_of_month,year
420919,7,169.0527,31420,12,17,4,AAPL,4142322.8667,-0.3431,62134843.0,4100291.0,4002398.3,14.1538,14.5244,-0.0054,0.0075,0.0075,-0.0028,0.0024,1.2203,-0.0024,0.0264,-0.6011,0.0192,-0.8737,0.013,-0.8138,-0.0432,0.007,-0.0043,-0.0406,0.0642,41.8306,46.4455,-0.0994,-0.4303,-4.3215,0.7034,-0.8536,-0.4958,1.78,1.31,0.47,1.78,1.78,1.31,0.47,True,False,0.4379,0.6377,0.6867,71.8703,0.3039,0.1862,0.6321,176.9093,165.4322,171.1707,0.0679,-0.0131,0,0.4336,0.478,-0.0929,2024-04-17,168.9299,0.0014799029183685,-0.0140886757828686,-0.011364477218065,0.0014799029183685,-0.0287397146747174,-0.0182910189374409,-0.0242,-0.0272,4.457142857142856,0.3300492610837438,0.006,2,17,2024
420952,7,168.3977,31497,13,17,4,AAPL,3681652.2,-0.3125,55224783.0,3130686.6,3674133.3,16.6398,14.0307,-0.0034,0.0058,0.0073,-0.206,0.0028,0.2356,-0.0058,0.0274,-0.4402,0.0199,-0.7056,0.0134,-0.5621,-0.0465,0.0036,-0.0077,-0.0439,0.0592,40.9643,46.3878,-0.1169,-0.7721,-4.65,0.3577,-0.8763,-0.1189,2.58,1.31,1.27,2.58,2.58,1.31,1.27,True,False,0.4216,0.6377,0.6611,71.6877,0.2669,0.1837,0.4525,176.9336,165.3499,171.1418,0.0688,-0.0163,0,0.4314,0.4779,-0.0972,2024-04-17,168.35,0.0048705155618911,-0.0107507721549061,-0.0079590139590139,0.0048705155618911,-0.0254514136374437,-0.0149094149094148,-0.0278,-0.0308,8.722222222222221,0.2984054669703872,0.0053,2,17,2024
420985,7,168.7901,21557,14,17,4,AAPL,3502375.0,-0.189,52535625.0,2566818.2,3655362.4,19.4672,13.3722,0.0034,0.0041,0.0067,-0.3797,0.0032,0.0637,-0.0025,0.0274,-0.4418,0.0192,-0.8707,0.013,-0.8094,-0.0433,0.007,-0.0044,-0.0407,0.0641,41.8155,46.4445,-0.0997,-0.4362,-4.3271,0.6975,-0.8539,-0.4892,2.58,1.31,1.27,2.58,2.58,1.31,1.27,True,False,0.4216,0.6377,0.6611,71.6877,0.3032,0.1861,0.629,176.9096,165.4309,171.1702,0.068,-0.0131,0,0.4292,0.4777,-0.1015,2024-04-17,168.92,0.0014206227062863,-0.0141470344501005,-0.0113065356381718,0.0014206227062863,-0.0287972061086776,-0.0182334833057067,-0.0229,-0.0259,4.271428571428571,0.3636363636363636,0.0057,2,17,2024
421018,7,168.6991,28696,15,17,4,AAPL,3354049.0667,-0.3182,50310736.0,2376793.8,2901794.2,20.1675,16.3378,-0.0035,0.0055,0.0064,-0.1443,0.0033,0.0473,-0.006,0.0274,-0.4401,0.0199,-0.7001,0.0134,-0.5536,-0.0466,0.0035,-0.0078,-0.044,0.059,40.935,46.3858,-0.1175,-0.7839,-4.6613,0.3458,-0.8771,-0.1063,2.58,1.31,1.27,2.58,2.58,1.31,1.27,True,False,0.4216,0.6377,0.6611,71.6877,0.2656,0.1836,0.4463,176.9346,165.3469,171.1408,0.0688,-0.0164,0,0.4274,0.4776,-0.1051,2024-04-17,168.33,0.0013367395437262,-0.0105156844106462,-0.0078411453692153,0.0013367395437262,-0.025219819391635,-0.0147923721261807,-0.0244,-0.0275,7.9714285714285715,0.3749999999999999,0.0054,2,17,2024
421051,7,168.1256,63719,10,18,4,AAPL,3582000.0667,0.5437,53730001.0,3435275.4,3001046.8,14.6407,16.9038,-0.0018,0.0065,0.0058,0.112,0.0028,-0.3637,-0.0018,0.0204,-0.6817,0.0119,-0.8505,0.0133,-0.8656,-0.0289,-0.0419,-0.007,-0.0613,-0.5286,42.9268,45.3723,-0.0539,-0.7045,-2.8895,-4.1933,-1.0243,-0.3122,1.09,0.64,0.45,1.09,1.09,0.64,0.45,True,False,0.4272,0.5533,0.7721,69.5491,0.0982,0.233,-0.5787,175.4,165.7535,170.5768,0.0575,-0.0169,0,0.3955,0.4763,-0.1696,2024-04-18,167.7001,0.0034585569469291,-0.0216159809183065,-0.0165181773892799,0.0034585569469291,-0.0216159809183065,-0.0047113865763943,-0.0326,-0.037,0.2219570405727924,0.3964110929853181,0.0047,3,18,2024
421084,7,168.0778,84607,11,18,4,AAPL,3200508.8667,-0.1557,48007633.0,3797938.2,3087366.0,11.6404,14.5497,0.0027,0.0056,0.0056,0.0152,0.0028,-0.0133,0.001,0.0207,-0.6233,0.0118,-0.9191,0.0132,-0.9278,-0.0262,-0.0393,-0.0043,-0.0587,-0.5533,43.7547,45.4275,-0.0368,-0.4322,-2.6232,-3.9305,-1.0062,-0.5704,1.31,0.64,0.67,1.31,1.31,0.64,0.67,False,True,0.3853,0.5899,0.6532,68.6996,0.1275,0.235,-0.4573,175.3693,165.8302,170.5998,0.0567,-0.0143,0,0.4048,0.4769,-0.1511,2024-04-18,168.16,0.000505470980019,-0.0242923406279734,-0.019207897240723,0.000505470980019,-0.0242923406279734,-0.0074333967649857,-0.0283,-0.0327,0.2798982188295166,0.4429301533219761,0.0069,3,18,2024
421117,7,167.8759,20623,12,18,4,AAPL,2969665.2,-0.4024,44544978.0,3081601.6,2989548.0,13.4551,13.9002,-0.0019,0.0028,0.0051,-0.4608,0.003,-0.3683,-0.001,0.0207,-0.6227,0.0118,-0.9191,0.0132,-0.9278,-0.0281,-0.0411,-0.0062,-0.0605,-0.5359,43.1527,45.3873,-0.0492,-0.6217,-2.8085,-4.1133,-1.0188,-0.3898,1.31,0.64,0.67,1.31,1.31,0.64,0.67,False,True,0.3853,0.5899,0.6532,68.6996,0.1071,0.2336,-0.5416,175.3898,165.7777,170.5837,0.0573,-0.0161,0,0.3915,0.476,-0.1774,2024-04-18,167.84,0.0007149666348903,-0.0224320781696855,-0.0173379408960914,0.0007149666348903,-0.0224320781696855,-0.0055409914204004,-0.0293,-0.0337,0.2871046228710462,0.4429752066115702,0.003,3,18,2024
421150,7,167.1419,41156,13,18,4,AAPL,2805851.1333,0.1184,42087767.0,2266823.8,2990834.1,17.5668,13.0723,-0.0061,0.0073,0.0051,0.4304,0.0031,0.9765,-0.0071,0.0214,-0.4678,0.013,-0.4551,0.0138,-0.4871,-0.034,-0.047,-0.0123,-0.0663,-0.4862,41.5429,45.28,-0.0825,-1.2316,-3.4049,-4.7018,-1.0594,0.1625,1.9,0.64,1.26,1.9,1.9,0.64,1.26,False,True,0.3853,0.6007,0.6414,68.6155,0.0414,0.2292,-0.8195,175.482,165.5825,170.5322,0.0593,-0.0218,0,0.3896,0.4759,-0.1812,2024-04-18,166.81,0.0034430311143777,-0.0163410585207377,-0.0112703075355194,0.0034430311143777,-0.0163410585207377,0.0005994844433786,-0.0333,-0.0377,0.2914893617021276,0.4313725490196078,0.0054,3,18,2024
421183,7,166.7875,25759,14,18,4,AAPL,2763600.9333,-0.303,41454014.0,2234805.0,2983319.9,17.5493,12.8953,0.0002,0.0034,0.0048,-0.2901,0.0027,-0.9333,-0.0069,0.0216,-0.4208,0.013,-0.4674,0.0138,-0.4994,-0.0339,-0.0468,-0.0121,-0.0661,-0.4876,41.5881,45.283,-0.0816,-1.2138,-3.3876,-4.6846,-1.0583,0.147,2.09,0.64,1.45,2.09,2.09,0.64,1.45,False,True,0.3853,0.6029,0.6391,68.5989,0.0433,0.2294,-0.8113,175.4788,165.5887,170.5338,0.0593,-0.0217,0,0.3879,0.4758,-0.1847,2024-04-18,166.84,0.0032066650683289,-0.0165727643251019,-0.0114480939822584,0.0032066650683289,-0.0165727643251019,0.0004195636538,-0.0356,-0.04,0.2393162393162393,0.394856278366112,0.0045,3,18,2024
421216,7,166.8116,21552,15,18,4,AAPL,2677415.2,-0.4012,40161228.0,2264884.2,2298485.1,16.7321,16.4729,-0.0007,0.0029,0.0047,-0.3814,0.0024,-0.7203,-0.0076,0.0216,-0.4205,0.0131,-0.4227,0.0139,-0.4545,-0.0345,-0.0475,-0.0128,-0.0667,-0.4827,41.4229,45.272,-0.085,-1.2789,-3.4513,-4.7475,-1.0626,0.2036,2.09,0.64,1.45,2.09,2.09,0.64,1.45,False,True,0.3853,0.6029,0.6391,68.5989,0.0363,0.2289,-0.8416,175.4908,165.5657,170.5282,0.0595,-0.0223,0,0.3865,0.4757,-0.1875,2024-04-18,166.73,0.0038685299586157,-0.0159239488994182,-0.0107958975589275,0.0038685299586157,-0.0159239488994182,0.0010795897558928,-0.0368,-0.0412,0.2252631578947368,0.3823088455772113,0.0038,3,18,2024
